Position,Company,Job_Description,Location
Backend Developer,Oracle India,"javascript, express.js, node.js",Pune
Cloud Solutions Architect,Google India,"docker, azure, aws",Noida
Data Scientist,Google India,"python, scikit-learn, numpy",Hyderabad
Data Scientist,TCS,"scikit-learn, numpy, tensorflow",Hyderabad
Cloud Security Specialist,Cognizant,"aws, kubernetes, docker",Chennai
Data Scientist,Google India,"tensorflow, python, pandas",Bangalore
Backend Developer,Adobe India,"react, css, javascript",Mumbai
Data Scientist,Capgemini,"pandas, numpy, scikit-learn",Gurgaon
Data Scientist,Infosys,"scikit-learn, pandas, tensorflow",Jaipur
DevOps Engineer,Capgemini,"google cloud, azure, docker",Kolkata
Cloud Security Specialist,Accenture,"google cloud, docker, aws",Lucknow
Web UI/UX Designer,Samsung R&D,"express.js, react, mongodb",Hyderabad
Machine Learning Engineer,Adobe India,"python, numpy, tensorflow",Visakhapatnam
Machine Learning Engineer,Oracle India,"tensorflow, numpy, scikit-learn",Pune
Cloud Solutions Architect,Oracle India,"docker, google cloud, azure",Ahmedabad
Cloud Security Specialist,Tech Mahindra,"docker, azure, google cloud",Bangalore
Data Scientist,TCS,"numpy, pandas, tensorflow",Chennai
Cloud Solutions Architect,IBM India,"google cloud, docker, azure",Pune
DevOps Engineer,Cognizant,"docker, kubernetes, aws",Pune
DevOps Engineer,Samsung R&D,"aws, kubernetes, docker",Hyderabad
Cloud Solutions Architect,Accenture,"azure, kubernetes, google cloud",Bangalore
Machine Learning Engineer,Infosys,"tensorflow, pandas, python",Mumbai
Cloud Security Specialist,Samsung R&D,"docker, azure, google cloud",Noida
Cloud Solutions Architect,Wipro,"azure, docker, google cloud",Visakhapatnam
Cloud Solutions Architect,Larsen & Toubro,"google cloud, aws, docker",Visakhapatnam
Data Scientist,Dell Technologies,"scikit-learn, python, tensorflow",Chandigarh
Full Stack Web Developer,Capgemini,"css, javascript, mongodb",Jaipur
Data Scientist,Google India,"numpy, scikit-learn, tensorflow",Visakhapatnam
Data Scientist,Google India,"tensorflow, pandas, numpy",Ahmedabad
Machine Learning Engineer,Samsung R&D,"scikit-learn, pandas, python",Chandigarh
Web UI/UX Designer,Dell Technologies,"react, css, node.js",Mumbai
DevOps Engineer,Microsoft India,"aws, google cloud, docker",Pune
Backend Developer,Microsoft India,"react, mongodb, html",Noida
Cloud Security Specialist,Larsen & Toubro,"aws, azure, kubernetes",Pune
Cloud Security Specialist,Accenture,"docker, google cloud, aws",Mumbai
DevOps Engineer,Mindtree,"azure, google cloud, aws",Ahmedabad
Backend Developer,Accenture,"html, css, express.js",Delhi
Web UI/UX Designer,Samsung R&D,"html, javascript, mongodb",Coimbatore
Frontend Developer,IBM India,"node.js, html, express.js",Mumbai
Cloud Solutions Architect,Samsung R&D,"kubernetes, azure, docker",Chandigarh
Backend Developer,HCL Technologies,"javascript, css, express.js",Hyderabad
Machine Learning Engineer,Microsoft India,"numpy, python, pandas",Jaipur
AI Research Engineer,Microsoft India,"tensorflow, numpy, pandas",Mumbai
Full Stack Web Developer,Tech Mahindra,"html, javascript, css",Gurgaon
Full Stack Web Developer,Microsoft India,"mongodb, react, node.js",Kolkata
Cloud Security Specialist,Accenture,"azure, google cloud, docker",Jaipur
Cloud Security Specialist,Microsoft India,"google cloud, docker, kubernetes",Bangalore
Data Scientist,Capgemini,"scikit-learn, tensorflow, pandas",Jaipur
Backend Developer,HCL Technologies,"javascript, node.js, html",Hyderabad
DevOps Engineer,Microsoft India,"docker, azure, aws",Ahmedabad
